X1,lon,lat,dist.next,year_arr,year_dep,spring.med,spring.mean,spring.tot,real.arr,arr,real.dep,dep,dur,FstQu.lon,FstQu.lat,TrdQu.lon,TrdQu.lat,jul.last.wint,jul.last.stop,jul.arr.last.stop,tag,,species,deploy_loc,month,south,north,breed_label,tag_deployed,tag_length,tag_label,is.start,is.end,first.south,last.south,first.north,last.north,,,winter,winter.longstops,pop.summer,pop.winter,first.winter,last.winter,first.winter.longstops,last.winter.longstops,winter.discretion,,
5,-57.47457298,-36.9,372.0241543,2010,2011,,,,2010-09-20 9:39,2010-09-20 9:39,2011-01-06 23:58,2011-01-06 23:58,109,-57.47457298,-37.575,-59.07503981,-36.675,,,,amgp_3346,,amgp,nome,9,TRUE,FALSE,NA,breed,lessyear,NA,,,,,,,3444.936974,,T,,,,T,,,,,,
6,-61.33757962,-38.25,2865.015789,2011,2011,,,,2011-01-08 8:19,2011-01-08 8:19,2011-01-31 10:19,2011-01-31 10:19,23,-61.33757962,-38.25,-61.33757962,-38.25,31,,,amgp_3346,,amgp,nome,1,TRUE,TRUE,NA,breed,lessyear,NA,,,,,,,372.0241543,,T,,,,,T,,,,,
7,-69.40874036,-13.5,374.1080964,2011,2011,,,,2011-01-31 23:37,2011-01-31 23:37,2011-02-11 10:30,2011-02-11 10:30,10,-69.40874036,-13.5,-69.5140665,-12.15,,,,amgp_3346,,amgp,nome,1,FALSE,TRUE,NA,breed,lessyear,NA,,,,,,,2865.015789,,,,,,,,,,,,
8,-72.73657289,-12.6,1004.587223,2011,2011,,,,2011-02-11 23:51,2011-02-11 23:51,2011-02-28 10:32,2011-02-28 10:32,16,-72.368758,-13.95,-72.83505155,-12.15,,,,amgp_3346,,amgp,nome,2,FALSE,TRUE,NA,breed,lessyear,NA,,,,,,,374.1080964,,,,,,,,,,,,
9,-73.53383459,-3.6,4765.923923,2011,2011,,,,2011-02-28 23:48,2011-02-28 23:48,2011-03-24 11:10,2011-03-24 11:10,23,-72.91719745,-13.95,-73.85806452,0.45,,,,amgp_3346,,amgp,nome,2,FALSE,TRUE,NA,breed,lessyear,NA,,,,,,,1004.587223,,,,,,,,,,,,
10,-96.59824047,33.3,2829.99771,2011,2011,,,,2011-03-29 1:05,2011-03-29 1:05,2011-04-04 0:53,2011-04-04 0:53,6,-95.80645161,31.05,-96.83890578,36.9,,,,amgp_3346,,amgp,nome,3,FALSE,TRUE,NA,breed,lessyear,NA,,,,,,,4765.923923,,,,,,,,,,,,
21,-93.836,58.6834,115.2817744,2012,2012,,,,2012-06-01 1:01,2012-06-01 1:01,2012-06-01 1:01,2012-06-01 1:01,0,-95.09988318,59.491705,-95.09988318,59.491705,,,,amgp_b168,,amgp,chur,6,TRUE,FALSE,breed,breed,year,NA,,,,,,,2829.99771,,,,,,,,,,,,
21,-95.09988318,59.491705,928.7390791,2012,2012,,,,2012-06-01 1:01,2012-06-01 1:01,2012-08-07 9:17,2012-08-07 9:17,67,-95.09988318,59.491705,-95.09988318,59.491705,,,,amgp_b168,,amgp,chur,6,TRUE,FALSE,breedGeo,breed,year,NA,,,,,,,115.2817744,,,,,,,,,,,,
4,-82.17391304,54.9,2858.108861,2012,2012,,,,2012-08-08 2:06,2012-08-08 2:06,2012-08-28 0:44,2012-08-28 0:44,20,-82.17391304,54.9,-82.17391304,54.9,,,,amgp_b168,,amgp,chur,8,TRUE,FALSE,NA,breed,year,NA,,,,,,,928.7390791,,,,,,,,,,,,
5,-64.53333333,32.4,2086.764863,2012,2012,,,,2012-08-28 9:39,2012-08-28 9:39,2012-08-30 9:10,2012-08-30 9:10,2,-64.53333333,32.4,-64.53333333,32.4,,,,amgp_b168,,amgp,chur,8,TRUE,FALSE,NA,breed,year,NA,,,,,,,2858.108861,,,,,,,,,,,,
6,-60.77319588,13.95,4803.652964,2012,2012,,,,2012-08-30 22:50,2012-08-30 22:50,2012-09-03 22:44,2012-09-03 22:44,4,-60.77319588,13.95,-60.77319588,13.95,,,,amgp_b168,,amgp,chur,8,TRUE,FALSE,NA,breed,year,NA,,,,,,,2086.764863,,,,,,,,,,,,
7,-60.6095791,-29.25,758.3834601,2012,2012,,,,2012-09-04 9:49,2012-09-04 9:49,2012-09-12 9:26,2012-09-12 9:26,8,-60.59405941,-30.6,-60.85959885,-27.9,,,,amgp_b168,,amgp,chur,9,TRUE,FALSE,NA,breed,year,NA,,,,,,,4803.652964,,,,,,,,,,,,
8,-57.51152074,-35.55,6776.29853,2012,2013,,,,2012-09-13 9:22,2012-09-13 9:22,2013-03-05 23:21,2013-03-05 23:21,174,-57.51152074,-35.55,-57.51152074,-35.55,65,,,amgp_b168,,amgp,chur,9,TRUE,TRUE,NA,breed,year,NA,,,,,,,758.3834601,,T,,,,T,T,,,,,
9,-90.70496084,16.65,2154.478909,2013,2013,,,,2013-03-10 11:36,2013-03-10 11:36,2013-03-29 11:30,2013-03-29 11:30,19,-90.70496084,16.65,-90.70496084,18,,,,amgp_b168,,amgp,chur,3,FALSE,TRUE,NA,breed,year,NA,,,,,,,6776.29853,,,,,,,,,,,,
10,-89.58268934,36,688.2594872,2013,2013,,,,2013-03-30 0:52,2013-03-30 0:52,2013-04-19 0:54,2013-04-19 0:54,20,-89.58268934,35.55,-90.13824885,36,,,,amgp_b168,,amgp,chur,3,FALSE,TRUE,NA,breed,year,NA,,,,,,,2154.478909,,,,,,,,,,,,
11,-86.97986577,41.85,841.3052628,2013,2013,,,,2013-04-19 10:54,2013-04-19 10:54,2013-05-12 2:20,2013-05-12 2:20,23,-86.97986577,41.85,-86.97986577,41.85,,,,amgp_b168,,amgp,chur,4,FALSE,TRUE,NA,breed,year,NA,,,,,,,688.2594872,,,,,,,,,,,,
12,-96.99481865,43.65,1685.61599,2013,2013,,,,2013-05-12 10:23,2013-05-12 10:23,2013-05-26 4:26,2013-05-26 4:26,14,-96.99481865,43.65,-96.99481865,43.65,,146,,amgp_b168,,amgp,chur,5,FALSE,TRUE,NA,breed,year,NA,,,,,,,841.3052628,,,,,,,,,,,,
16,-93.83613,58.68341,0.007595417,2013,2013,,,,2013-05-26 7:48,2013-05-26 7:48,2013-06-26 4:15,2013-06-26 4:15,31,-93.83613,58.68341,-93.83613,58.68341,,,,amgp_b168,,amgp,chur,5,FALSE,TRUE,breedGeo,breed,year,NA,,,,,,,1685.615944,,,,,,,,,,,,
16,-93.836,58.6834,0.307319358,2013,2013,1685.61599,2429.191636,12145.95818,2013-06-01 1:01,2013-06-01 1:01,2013-06-01 1:01,2013-06-01 1:01,0,-93.83613,58.68341,-93.83613,58.68341,,,,amgp_b168,,amgp,chur,5,FALSE,TRUE,breed,breed,year,NA,,,,,,,0.007595417,,,,,,,,,,,,
